 Flux (Janskies) at 10 Mpc and normalised flux for a model with the following parameters: 			
 Luminosity: 1.5e9 Lsun
 Mass-loss rate: 3.0e-3 Msun/yr
 Wind terminal velocity: 150.0 km/s
 Effective temperature (at optical depth 10): 16.8e3 K 
 Effective temperature (at optical depth 2/3): 16.5e3 K 
 Inner boundary: 32.0e13 cm 
 Abundances (mass fractions): H=1.864E-01,He=8.000E-01,C=5.583E-05,N=8.172E-03,O=1.319E-04,Fe=1.360E-03 
 	 Wavelength 	 Flux 	 	 Normalised Flux 
 	 (Angstrom) 	 (Jy (at 10 Mpc)) 	 
	10.01486101335	1.0432e-107	1.0
	10.02154488685	1.0432e-107	1.0
	10.028233327075	1.0432e-107	1.0
	10.034926334425	1.0432e-107	1.0
	10.04162357285	1.0432e-107	1.0
	10.048325462500001	1.0432e-107	1.0
	10.0550317512	1.0432e-107	1.0
	10.0617426074	1.0432e-107	1.0
	10.068457862375	1.0432e-107	1.0
	10.075177600575	1.0432e-107	1.0
	10.08190182185	1.0432e-107	1.0
	10.088630611174999	1.0432e-107	1.0
	10.09536388375	1.0432e-107	1.0
	10.102101469499999	1.0432e-107	1.0
	10.108843623275	1.0432e-107	1.0
	10.11559043065	1.0432e-107	1.0
	10.122341635875	1.0432e-107	1.0
	10.129097324175	1.0432e-107	1.0
	10.135857581075001	1.0432e-107	1.0
	10.142622320975	1.0432e-107	1.0
	10.149391543850001	1.0432e-107	1.0
	10.156165335575	1.0432e-107	1.0
	10.1629436101	1.0432e-107	1.0
	10.16972645365	1.0432e-107	1.0
	10.176513693599999	1.0432e-107	1.0
	10.183305675400002	1.0432e-107	1.0
	10.1901019668	1.0432e-107	1.0
	10.196903000550002	1.0432e-107	1.0
	10.20370843015	1.0432e-107	1.0
	10.210518515825	1.0432e-107	1.0
	10.217332996900002	1.0432e-107	1.0
	10.22415213415	1.0432e-107	1.0
	10.230975840874999	1.0432e-107	1.0
	10.237804029725	1.0432e-107	1.0
	10.244636700325	1.0432e-107	1.0
	10.2514741153	1.0432e-107	1.0
	10.25831609995	1.0432e-107	1.0
	10.265162566249998	1.0432e-107	1.0
	10.272013602049999	1.0432e-107	1.0
	10.278869207225	1.0432e-107	1.0
	10.285729381725	1.0432e-107	1.0
	10.29259412565	1.0432e-107	1.0
	10.299463438825	1.0432e-107	1.0
	10.3063373212	1.0432e-107	1.0
	10.31321595025	1.0432e-107	1.0
	10.320098971250001	1.0432e-107	1.0
	10.326986739075	1.0432e-107	1.0
	10.3338789872	1.0432e-107	1.0
	10.3407758936	1.0432e-107	1.0
	10.347677458375	1.0432e-107	1.0
	10.354583503	1.0432e-107	1.0
	10.3614941164	1.0432e-107	1.0
	10.36840956745	1.0432e-107	1.0
	10.375329498	1.0432e-107	1.0
	10.3822540871	1.0432e-107	1.0
	10.389183155075	1.0432e-107	1.0
	10.396117151975	1.0432e-107	1.0
	10.4030554471	1.0432e-107	1.0
	10.40999849115	1.0432e-107	1.0
	10.416946194025	1.0432e-107	1.0
	10.423898646425	1.0432e-107	1.0
	10.430855576625	1.0432e-107	1.0
	10.437817165675	1.0432e-107	1.0
	10.44478341365	1.0432e-107	1.0
	10.4517544116	1.0432e-107	1.0
	10.4587298864	1.0432e-107	1.0
	10.46571020255	1.0432e-107	1.0
	10.47269499505	1.0432e-107	1.0
	10.479684537899999	1.0432e-107	1.0
	10.4866787397	1.0432e-107	1.0
	10.493677692325	1.0432e-107	1.0
	10.500681304099999	1.0432e-107	1.0
	10.507689482900002	1.0432e-107	1.0
	10.514702320475	1.0432e-107	1.0
	10.521719909025	1.0432e-107	1.0
	10.528742156524999	1.0432e-107	1.0
	10.53576915525	1.0432e-107	1.0
	10.542800905624999	1.0432e-107	1.0
	10.549837222175	1.0432e-107	1.0
	10.5568781973	1.0432e-107	1.0
	10.56392383085	1.0432e-107	1.0
	10.570974309175	1.0432e-107	1.0
	10.57802944595	1.0432e-107	1.0
	10.585089334674999	1.0432e-107	1.0
	10.592153788249998	1.0432e-107	1.0
	10.599223180900001	1.0432e-107	1.0
	10.6062971381	1.0432e-107	1.0
	10.613375847375	1.0432e-107	1.0
	10.620459308575	1.0432e-107	1.0
	10.62754742785	1.0432e-107	1.0
	10.634640299049998	1.0432e-107	1.0
	10.641737922325	1.0432e-107	1.0
	10.6488402978	1.0432e-107	1.0
	10.655947425425	1.0432e-107	1.0
	10.663059210425	1.0432e-107	1.0
	10.67017584245	1.0432e-107	1.0
	10.67729722675	1.0432e-107	1.0
	10.684423268149999	1.0432e-107	1.0
	10.691554156800002	1.0432e-107	1.0
	10.698689702375	1.0432e-107	1.0
	10.705830191024999	1.0432e-107	1.0
	10.712975336375	1.0432e-107	1.0
	10.720125137950001	1.0432e-107	1.0
	10.727279787375	1.0432e-107	1.0
	10.7344392848	1.0432e-107	1.0
	10.741603534325	1.0432e-107	1.0
	10.748772535875002	1.0432e-107	1.0
	10.75594648225	1.0432e-107	1.0
	10.7631249877	1.0432e-107	1.0
	10.770308244675002	1.0432e-107	1.0
	10.777496543675	1.0432e-107	1.0
	10.784689497775002	1.0432e-107	1.0
	10.79188720335	1.0432e-107	1.0
	10.7990897576	1.0432e-107	1.0
	10.806297160649999	1.0432e-107	1.0
	10.813509412650001	1.0432e-107	1.0
	10.820726318475	1.0432e-107	1.0
	10.82794817085	1.0432e-107	1.0
	10.8351748722	1.0432e-107	1.0
	10.842406324775	1.0432e-107	1.0
	10.8496426264	1.0432e-107	1.0
	10.856883777274998	1.0432e-107	1.0
	10.864129678825002	1.0432e-107	1.0
	10.871380429375	1.0432e-107	1.0
	10.878636127725	1.0432e-107	1.0
	10.88589657645	1.0432e-107	1.0
	10.893161874425	1.0432e-107	1.0
	10.900432021475	1.0432e-107	1.0
	10.907707017625	1.0432e-107	1.0
	10.914986962175	1.0432e-107	1.0
	10.92227165665	1.0432e-107	1.0
	10.9295612001	1.0432e-107	1.0
	10.936855692225	1.0432e-107	1.0
	10.944155033425	1.0432e-107	1.0
	10.951459423825	1.0432e-107	1.0
	10.958768363250002	1.0432e-107	1.0
	10.966082251525	1.0432e-107	1.0
	10.973401089025	1.0432e-107	1.0
	10.980724875875	1.0432e-107	1.0
	10.98805341095	1.0432e-107	1.0
	10.995386996325	1.0432e-107	1.0
	11.0027253296	1.0432e-107	1.0
