WAVE,FLUX,ERR,SKYBACK
3648.441,7.4974E-17,1.04667026E-17,4.529356E-16
3653.9636,8.077703E-17,1.0382328E-17,4.46292E-16
3659.4863,7.8317315E-17,1.0188712E-17,4.4258454E-16
3665.009,8.033885E-17,9.898261E-18,4.086257E-16
3670.532,6.092417E-17,9.524115E-18,4.0753947E-16
3676.0547,6.129847E-17,9.358576E-18,4.0113773E-16
3681.5774,5.3435037E-17,9.318676E-18,4.3094254E-16
3687.1,5.0142465E-17,9.214825E-18,4.432721E-16
3692.623,4.808958E-17,9.0284365E-18,4.3428965E-16
3698.1458,4.99808E-17,8.946489E-18,4.33722E-16
3703.6685,4.282451E-17,8.589436E-18,4.0642605E-16
3709.1912,5.3485412E-17,8.598459E-18,4.02303E-16
3714.714,5.631713E-17,8.463947E-18,3.89573E-16
3720.2368,7.067014E-17,8.502017E-18,3.810799E-16
3725.7595,6.655786E-17,8.364667E-18,3.8135308E-16
3731.2822,5.854173E-17,8.161385E-18,3.8039773E-16
3736.8052,8.9541415E-17,8.538722E-18,3.9741648E-16
3742.328,1.00868144E-16,8.568797E-18,3.9520638E-16
3747.8506,1.2840261E-16,8.6158024E-18,3.611148E-16
3753.3733,1.6319499E-16,8.9718185E-18,3.7576036E-16
3758.8962,1.5160184E-16,8.783359E-18,3.7711913E-16
3764.419,1.5269795E-16,8.8542984E-18,4.0784687E-16
3769.9417,1.606984E-16,8.917363E-18,4.2186958E-16
3775.4644,1.364595E-16,8.6110925E-18,4.2428746E-16
3780.9873,1.4338557E-16,8.554729E-18,4.137087E-16
3786.51,1.1454866E-16,8.037708E-18,3.7661925E-16
3792.0327,1.0496031E-16,7.798321E-18,3.6199576E-16
3797.5554,1.1691268E-16,7.978132E-18,3.8535332E-16
3803.0784,1.2125822E-16,7.9337176E-18,3.7922144E-16
3808.601,1.3566847E-16,7.915838E-18,3.574285E-16
3814.1238,1.5068829E-16,7.861191E-18,3.258728E-16
3819.6465,1.6510828E-16,7.919384E-18,3.1763526E-16
3825.1694,1.8783534E-16,8.0211745E-18,3.0238362E-16
3830.6921,2.0230106E-16,8.055363E-18,2.904162E-16
3836.2148,1.8776784E-16,7.969595E-18,3.1630934E-16
3841.7375,2.0102004E-16,8.074807E-18,3.227097E-16
3847.2605,1.6195764E-16,7.6688634E-18,3.2200662E-16
3852.7832,1.1348083E-16,7.152372E-18,3.2478065E-16
3858.306,8.345979E-17,6.767891E-18,3.1915325E-16
3863.8286,6.9202195E-17,6.542138E-18,3.121759E-16
3869.3516,5.0186037E-17,6.287783E-18,3.1335672E-16
3874.8743,4.7807896E-17,6.1576313E-18,2.9906065E-16
3880.397,4.6321545E-17,6.1368277E-18,3.0634903E-16
3885.9197,4.320024E-17,6.1420725E-18,3.1987797E-16
3891.4426,4.9504685E-17,6.2067745E-18,3.2379603E-16
3896.9653,3.9392713E-17,6.2512065E-18,3.6240516E-16
3902.488,5.325522E-17,6.497312E-18,3.886894E-16
3908.0107,5.486851E-17,6.4625793E-18,3.8261685E-16
3913.5337,5.730063E-17,6.4763486E-18,3.872388E-16
3919.0564,6.099658E-17,6.2053034E-18,3.2911264E-16
3924.579,7.80166E-17,6.1152114E-18,2.7859083E-16
3930.1018,1.1134166E-16,6.2972292E-18,2.520029E-16
3935.6248,1.1746813E-16,6.387652E-18,2.6572083E-16
3941.1475,1.5592238E-16,6.884831E-18,2.9857983E-16
3946.6702,1.863067E-16,7.36178E-18,3.5438E-16
3952.1929,2.6964103E-16,7.968166E-18,3.4750728E-16
3957.7158,3.1913989E-16,8.143777E-18,3.0413994E-16
3963.2385,3.5808016E-16,8.255006E-18,2.6772107E-16
3968.7612,3.8189253E-16,8.426097E-18,2.7858874E-16
3974.284,3.8878095E-16,8.540413E-18,3.0677355E-16
3979.807,3.6511713E-16,8.551121E-18,3.6473392E-16
3985.3296,3.7351165E-16,8.670475E-18,3.9227655E-16
3990.8523,3.4416497E-16,8.558128E-18,4.2925507E-16
3996.375,3.4661795E-16,8.550469E-18,4.2972136E-16
4001.898,3.5236494E-16,8.590817E-18,4.3967196E-16
4007.4207,3.3068018E-16,8.477357E-18,4.578436E-16
4012.9434,3.2878023E-16,8.44954E-18,4.6475994E-16
4018.466,3.2132118E-16,8.402603E-18,4.734792E-16
4023.989,3.2262717E-16,8.344447E-18,4.6295184E-16
4029.5117,3.0929466E-16,8.203156E-18,4.5671895E-16
4035.0344,2.9202083E-16,8.045592E-18,4.5277495E-16
4040.5571,2.6294587E-16,7.8137036E-18,4.5355554E-16
4046.08,2.5854196E-16,7.712392E-18,4.408786E-16
4051.6028,2.7852166E-16,7.790219E-18,4.3139285E-16
4057.1255,3.2528148E-16,8.062594E-18,4.2758356E-16
4062.6482,3.4979462E-16,8.202601E-18,4.3085676E-16
4068.1711,3.90798E-16,8.435383E-18,4.3193868E-16
4073.6938,3.9165398E-16,8.394799E-18,4.2677048E-16
4079.2166,4.018094E-16,8.512029E-18,4.530994E-16
4084.7393,4.3158473E-16,8.65599E-18,4.5213925E-16
4090.2622,4.6537065E-16,8.785562E-18,4.387198E-16
4095.785,4.726675E-16,8.7291626E-18,4.1507195E-16
4101.3076,4.616715E-16,8.64868E-18,4.2026334E-16
4106.8306,4.7417487E-16,8.662293E-18,4.0881357E-16
4112.353,4.890622E-16,8.7406984E-18,4.1553838E-16
4117.876,4.7733705E-16,8.701572E-18,4.333215E-16
4123.399,4.559374E-16,8.564071E-18,4.3847928E-16
4128.9214,4.1542471E-16,8.3083195E-18,4.3975836E-16
4134.4443,3.560541E-16,7.906272E-18,4.3370623E-16
4139.967,2.9169798E-16,7.472791E-18,4.3152475E-16
4145.4897,2.6407335E-16,7.26331E-18,4.304762E-16
4151.0127,2.8145944E-16,7.342118E-18,4.2589325E-16
4156.535,3.197425E-16,7.580477E-18,4.30409E-16
4162.058,3.528019E-16,7.833003E-18,4.520621E-16
4167.581,3.863339E-16,7.990091E-18,4.450046E-16
4173.1035,3.848711E-16,7.946426E-18,4.421813E-16
4178.6265,3.7093468E-16,7.7879055E-18,4.219333E-16
4184.149,3.3405727E-16,7.509117E-18,4.1127584E-16
4189.672,3.0014499E-16,7.260009E-18,4.0796378E-16
4195.195,2.7814738E-16,7.052435E-18,3.936341E-16
4200.7173,2.4184143E-16,6.817506E-18,4.0358036E-16
4206.24,2.4497667E-16,6.8336906E-18,4.0553621E-16
4211.763,2.4914532E-16,6.8610273E-18,4.1130493E-16
4217.2856,2.658489E-16,6.935769E-18,4.0600862E-16
4222.8086,3.0141236E-16,7.130285E-18,3.999049E-16
4228.331,3.4645095E-16,7.346643E-18,3.8367146E-16
4233.854,3.8521767E-16,7.517013E-18,3.6895442E-16
4239.377,3.7960917E-16,7.511201E-18,3.8291413E-16
4244.8994,3.3474422E-16,7.235382E-18,3.8699638E-16
4250.4224,2.98821E-16,7.02047E-18,3.944065E-16
4255.9453,2.4738285E-16,6.6348517E-18,3.840433E-16
4261.468,2.1146663E-16,6.3628404E-18,3.8141854E-16
4266.9907,1.7979E-16,6.099554E-18,3.745239E-16
4272.513,1.6466677E-16,5.9860393E-18,3.7849275E-16
4278.036,1.511789E-16,5.8562638E-18,3.7331574E-16
4283.559,1.667602E-16,5.935325E-18,3.6419873E-16
4289.0815,1.7033642E-16,5.9630673E-18,3.6826007E-16
4294.6045,2.0447042E-16,6.0661224E-18,3.2950498E-16
4300.1274,2.0731153E-16,6.029614E-18,3.1638578E-16
4305.65,2.274283E-16,6.12953E-18,3.0653678E-16
4311.173,2.2890417E-16,6.2101155E-18,3.3097532E-16
4316.6953,2.5166604E-16,6.406187E-18,3.4643052E-16
4322.2183,2.8942732E-16,6.6903782E-18,3.6086412E-16
4327.741,3.330605E-16,7.009167E-18,3.8002583E-16
4333.2637,3.6149397E-16,7.122857E-18,3.6421628E-16
4338.7866,3.755606E-16,7.192485E-18,3.6353855E-16
4344.3096,3.5007943E-16,7.028087E-18,3.6225595E-16
4349.832,3.1754153E-16,6.81069E-18,3.5876726E-16
4355.355,2.85954E-16,6.6903787E-18,3.85713E-16
4360.8774,2.670343E-16,6.5746213E-18,3.9106916E-16
4366.4004,2.6119171E-16,6.517407E-18,3.8743928E-16
4371.9233,2.7707422E-16,6.582938E-18,3.7796437E-16
4377.446,2.8614282E-16,6.6375603E-18,3.8035832E-16
4382.9688,3.0700646E-16,6.722477E-18,3.684555E-16
4388.4917,3.3203517E-16,6.845703E-18,3.6138205E-16
4394.014,3.5801947E-16,6.9918765E-18,3.6153992E-16
4399.537,3.9723897E-16,7.230213E-18,3.6878147E-16
4405.06,4.2087982E-16,7.381738E-18,3.7914365E-16
4410.5825,4.1339975E-16,7.355987E-18,3.869791E-16
4416.1055,4.0079103E-16,7.2966206E-18,3.9417856E-16
4421.628,3.7481015E-16,7.182386E-18,4.0818857E-16
4427.151,3.6888896E-16,7.1491045E-18,4.1090789E-16
4432.674,3.6711432E-16,7.115688E-18,4.053849E-16
4438.1963,3.6974833E-16,7.1062185E-18,3.9902745E-16
4443.719,3.7826596E-16,7.117124E-18,3.8882386E-16
4449.242,4.145547E-16,7.33682E-18,3.975707E-16
4454.7646,4.3959427E-16,7.438689E-18,3.885017E-16
4460.2876,4.294112E-16,7.351825E-18,3.788006E-16
4465.81,3.9839287E-16,7.162758E-18,3.744011E-16
4471.333,3.5792126E-16,6.981326E-18,3.9242406E-16
4476.856,3.4083695E-16,6.879786E-18,3.9349792E-16
4482.3784,3.30589E-16,6.832158E-18,4.0027802E-16
4487.9014,2.9832807E-16,6.648973E-18,4.04736E-16
4493.4243,2.814044E-16,6.5367518E-18,4.0293418E-16
4498.947,2.7902583E-16,6.536042E-18,4.0938545E-16
4504.4697,2.7081494E-16,6.4559792E-18,4.0207177E-16
4509.992,2.6034222E-16,6.3769434E-18,3.9872551E-16
4515.515,2.5565704E-16,6.3572085E-18,4.0383879E-16
4521.038,2.478346E-16,6.3501766E-18,4.1912744E-16
4526.5605,2.6386966E-16,6.3670383E-18,3.9350173E-16
4532.0835,2.6943215E-16,6.3878514E-18,3.9067052E-16
